freq_range,freq_range_mhz,freq_unit,itu_intl_region1_2_services,itu_intl_footnotes,itu_region3_services,usa_federal_services,usa_federal_footnotes,usa_nonfederal_services,usa_nonfederal_footnotes,typical_devices_applications,note
46.9-47,0.0469-0.0470,kHz,,,,MOBILE | MOBILE-SATELLITE (Earth-to-space) | RADIONAVIGATION-SATELLITE,5.554,FIXED | MOBILE | MOBILE-SATELLITE (Earth-to-space) | RADIONAVIGATION-SATELLITE,5.554,"Point-to-point microwave links, satellite earth stations; Mobile phones, cellular base stations (2G/3G/4G/5G); GPS receivers, GNSS devices",EU/Europe follows ITU Region 1 (largely identical to Region 1/2 primary services shown). Source: FCC 47 CFR 2.106 / ITU Radio Regulations 2016
47-50,0.0470-0.0500,kHz,FIXED | MOBILE,,FIXED | MOBILE | BROADCASTING,,,LAND MOBILE,NG124,"Point-to-point microwave links, satellite earth stations; Mobile phones, cellular base stations (2G/3G/4G/5G)",EU/Europe follows ITU Region 1 (largely identical to Region 1/2 primary services shown). Source: FCC 47 CFR 2.106 / ITU Radio Regulations 2016
47-48.2,0.0470-0.0482,kHz,,,,,,FIXED | FIXED-SATELLITE (Earth-to-space) | MOBILE,US297 NG65,"Point-to-point microwave links, satellite earth stations; Mobile phones, cellular base stations (2G/3G/4G/5G)",EU/Europe follows ITU Region 1 (largely identical to Region 1/2 primary services shown). Source: FCC 47 CFR 2.106 / ITU Radio Regulations 2016
48.2-50.2,0.0482-0.0502,kHz,FIXED | FIXED-SATELLITE (Earth-to-space) 5.338A 5.516B 5.552 | MOBILE,5.149 5.340 5.555,FIXED | FIXED-SATELLITE (Earth-to-space) US156 US297 | MOBILE US264,,,,,"Point-to-point microwave links, satellite earth stations; Mobile phones, cellular base stations (2G/3G/4G/5G)",EU/Europe follows ITU Region 1 (largely identical to Region 1/2 primary services shown). Source: FCC 47 CFR 2.106 / ITU Radio Regulations 2016
49.6-50,0.0496-0.0500,kHz,,,,FIXED | MOBILE,,,,"Point-to-point microwave links, satellite earth stations; Mobile phones, cellular base stations (2G/3G/4G/5G)",EU/Europe follows ITU Region 1 (largely identical to Region 1/2 primary services shown). Source: FCC 47 CFR 2.106 / ITU Radio Regulations 2016
50-54,0.0500-0.0540,kHz,AMATEUR,5.162A 5.1 67 5.167A 5.168 5.170,,,,AMATEUR,,"Ham radio transceivers, SDR receivers",EU/Europe follows ITU Region 1 (largely identical to Region 1/2 primary services shown). Source: FCC 47 CFR 2.106 / ITU Radio Regulations 2016
50.4-51.4,0.0504-0.0514,kHz,,,FIXED | FIXED-SATELLITE (Earth-to-space) US156 | MOBILE | MOBILE-SATELLITE (Earth-to-space),FIXED | FIXED-SATELLITE (Earth-to-space) US156 | MOBILE | MOBILE-SATELLITE (Earth-to-space),NG65,,,"Point-to-point microwave links, satellite earth stations; Mobile phones, cellular base stations (2G/3G/4G/5G)",EU/Europe follows ITU Region 1 (largely identical to Region 1/2 primary services shown). Source: FCC 47 CFR 2.106 / ITU Radio Regulations 2016
54-68,0.0540-0.0680,kHz,BROADCASTING | Fixed | Mobile,5.172,FIXED | MOBILE | BROADCASTING,,,BROADCASTING,NG5 NG14 NG115 NG149,"AM/FM radios, DAB receivers, TV sets; Point-to-point microwave links, satellite earth stations; Mobile phones, cellular base stations (2G/3G/4G/5G)",EU/Europe follows ITU Region 1 (largely identical to Region 1/2 primary services shown). Source: FCC 47 CFR 2.106 / ITU Radio Regulations 2016
56.9-57,0.0569-0.0570,kHz,,,,EARTH EXPLORATION-SATELLITE | (passive) | FIXED | INTER-SATELLITE G128 | MOBILE 5.558 | SPACE RESEARCH (passive),US532,EARTH EXPLORATION-SATELLITE | (passive) | FIXED | MOBILE 5.558 | SPACE RESEARCH (passive),US532,"Point-to-point microwave links, satellite earth stations; Satellite phones, VSAT terminals, satellite internet; Mobile phones, cellular base stations (2G/3G/4G/5G); Deep space probes, scientific satellites",EU/Europe follows ITU Region 1 (largely identical to Region 1/2 primary services shown). Source: FCC 47 CFR 2.106 / ITU Radio Regulations 2016
57-58.2,0.0570-0.0582,kHz,,,,EARTH EXPLORATION-SATELLITE (passive) | FIXED | INTER-SATELLITE 5.556A | MOBILE 5.558 | SPACE RESEARCH (passive),US532,,,"Point-to-point microwave links, satellite earth stations; Satellite phones, VSAT terminals, satellite internet; Mobile phones, cellular base stations (2G/3G/4G/5G); Deep space probes, scientific satellites",EU/Europe follows ITU Region 1 (largely identical to Region 1/2 primary services shown). Source: FCC 47 CFR 2.106 / ITU Radio Regulations 2016
58.2-59,0.0582-0.0590,kHz,,,,EARTH EXPLORATION-SATELLITE (passive) | FIXED | MOBILE | SPACE RESEARCH (passive),US353 US354,,,"Point-to-point microwave links, satellite earth stations; Satellite phones, VSAT terminals, satellite internet; Mobile phones, cellular base stations (2G/3G/4G/5G); Deep space probes, scientific satellites",EU/Europe follows ITU Region 1 (largely identical to Region 1/2 primary services shown). Source: FCC 47 CFR 2.106 / ITU Radio Regulations 2016
59-61,0.0590-0.0610,kHz,,,,STANDARD FREQUENCY AND TIME SIGNAL (60 kHz),US2,,,"Atomic clocks, time receivers (DCF77, WWVB)",EU/Europe follows ITU Region 1 (largely identical to Region 1/2 primary services shown). Source: FCC 47 CFR 2.106 / ITU Radio Regulations 2016
59-59.3,0.0590-0.0593,kHz,,,,EARTH EXPLORATION-SATELLITE | (passive) | FIXED | INTER-SATELLITE 5.556A | MOBILE 5.558 | RADIOLOCATION 5.559 | SPACE RESEARCH (passive),US353,EARTH EXPLORATION-SATELLITE | (passive) | FIXED | MOBILE 5.558 | RADIOLOCATION 5.559 | SPACE RESEARCH (passive),US353,"Point-to-point microwave links, satellite earth stations; Satellite phones, VSAT terminals, satellite internet; Radar systems, speed guns, weather radar; Mobile phones, cellular base stations (2G/3G/4G/5G); Deep space probes, scientific satellites",EU/Europe follows ITU Region 1 (largely identical to Region 1/2 primary services shown). Source: FCC 47 CFR 2.106 / ITU Radio Regulations 2016
59.3-64,0.0593-0.0640,kHz,,,,FIXED | INTER-SATELLITE | MOBILE 5.558 | RADIOLOCATION 5.559,5.138 US353,FIXED | MOBILE 5.558 | RADIOLOCATION 5.559,5.138 US353,"Point-to-point microwave links, satellite earth stations; Satellite phones, VSAT terminals, satellite internet; Mobile phones, cellular base stations (2G/3G/4G/5G); Radar systems, speed guns, weather radar",EU/Europe follows ITU Region 1 (largely identical to Region 1/2 primary services shown). Source: FCC 47 CFR 2.106 / ITU Radio Regulations 2016
61-70,0.0610-0.0700,kHz,,,,FIXED | MARITIME MOBILE 5.57,US2,FIXED,US2,"Point-to-point microwave links, satellite earth stations; Mobile phones, cellular base stations (2G/3G/4G/5G)",EU/Europe follows ITU Region 1 (largely identical to Region 1/2 primary services shown). Source: FCC 47 CFR 2.106 / ITU Radio Regulations 2016
64-65,0.0640-0.0650,kHz,,,,FIXED | INTER-SATELLITE | MOBILE except aeronautical mobile,,FIXED | MOBILE except aeronautical mobile,,"Point-to-point microwave links, satellite earth stations; Satellite phones, VSAT terminals, satellite internet; Mobile phones, cellular base stations (2G/3G/4G/5G)",EU/Europe follows ITU Region 1 (largely identical to Region 1/2 primary services shown). Source: FCC 47 CFR 2.106 / ITU Radio Regulations 2016
65-66,0.0650-0.0660,kHz,,,,EARTH EXPLORATION-SATELLITE | FIXED | MOBILE except aeronautical mobile | SPACE RESEARCH,,EARTH EXPLORATION-SATELLITE | FIXED | INTER-SATELLITE | MOBILE except aeronautical mobile | SPACE RESEARCH,,"Point-to-point microwave links, satellite earth stations; Satellite phones, VSAT terminals, satellite internet; Mobile phones, cellular base stations (2G/3G/4G/5G); Deep space probes, scientific satellites",EU/Europe follows ITU Region 1 (largely identical to Region 1/2 primary services shown). Source: FCC 47 CFR 2.106 / ITU Radio Regulations 2016
66-71,0.0660-0.0710,kHz,MOBILE 5.553 5.558 | MOBILE-SATELLITE | RADIONAVIGATION | RADIONAVIGATION-SATELLITE,5.554,INTER-SATELLITE | MOBILE 5.553 5.558 | MOBILE-SATELLITE | RADIONAVIGATION | RADIONAVIGATION-SATELLITE,,,,,"GPS receivers, GNSS devices; Mobile phones, cellular base stations (2G/3G/4G/5G)",EU/Europe follows ITU Region 1 (largely identical to Region 1/2 primary services shown). Source: FCC 47 CFR 2.106 / ITU Radio Regulations 2016
68-72,0.0680-0.0720,kHz,BROADCASTING | Fixed | Mobile,5.173,FIXED | MOBILE,,,,,"AM/FM radios, DAB receivers, TV sets; Point-to-point microwave links, satellite earth stations; Mobile phones, cellular base stations (2G/3G/4G/5G)",EU/Europe follows ITU Region 1 (largely identical to Region 1/2 primary services shown). Source: FCC 47 CFR 2.106 / ITU Radio Regulations 2016
71-74,0.0710-0.0740,kHz,FIXED | FIXED-SATELLITE (space-to-Earth) | MOBILE | MOBILE-SATELLITE (space-to-Earth),US389,,,,,,"Point-to-point microwave links, satellite earth stations; Mobile phones, cellular base stations (2G/3G/4G/5G)",EU/Europe follows ITU Region 1 (largely identical to Region 1/2 primary services shown). Source: FCC 47 CFR 2.106 / ITU Radio Regulations 2016
72-73,0.0720-0.0730,kHz,FIXED | MOBILE,,,,,FIXED | MOBILE,NG3 NG16 NG56,"Point-to-point microwave links, satellite earth stations; Mobile phones, cellular base stations (2G/3G/4G/5G)",EU/Europe follows ITU Region 1 (largely identical to Region 1/2 primary services shown). Source: FCC 47 CFR 2.106 / ITU Radio Regulations 2016
73-74.6,0.0730-0.0746,kHz,RADIO ASTRONOMY,5.178,,RADIO ASTRONOMY US74,US246,,,"Radio telescopes, scientific receivers",EU/Europe follows ITU Region 1 (largely identical to Region 1/2 primary services shown). Source: FCC 47 CFR 2.106 / ITU Radio Regulations 2016
74-76,0.0740-0.0760,kHz,FIXED | FIXED-SATELLITE (space-to-Earth) | MOBILE | Space research (space-to-Earth),US389,FIXED | FIXED-SATELLITE (space-to-Earth) | MOBILE | BROADCASTING | BROADCASTING-SATELLITE | Space research (space-to-Earth),,,,,"Point-to-point microwave links, satellite earth stations; Mobile phones, cellular base stations (2G/3G/4G/5G); Deep space probes, scientific satellites",EU/Europe follows ITU Region 1 (largely identical to Region 1/2 primary services shown). Source: FCC 47 CFR 2.106 / ITU Radio Regulations 2016
74.6-74.8,0.0746-0.0748,kHz,FIXED | MOBILE,,,FIXED | MOBILE,US273,,,"Point-to-point microwave links, satellite earth stations; Mobile phones, cellular base stations (2G/3G/4G/5G)",EU/Europe follows ITU Region 1 (largely identical to Region 1/2 primary services shown). Source: FCC 47 CFR 2.106 / ITU Radio Regulations 2016
74.8-75.2,0.0748-0.0752,kHz,,,,AERONAUTICAL RADIONAVIGATION,5.180,,,"ILS, VOR, DME, TACAN, instrument landing systems",EU/Europe follows ITU Region 1 (largely identical to Region 1/2 primary services shown). Source: FCC 47 CFR 2.106 / ITU Radio Regulations 2016
75.2-75.4,0.0752-0.0754,kHz,FIXED | MOBILE,5.179,,FIXED | MOBILE,US273,,,"Point-to-point microwave links, satellite earth stations; Mobile phones, cellular base stations (2G/3G/4G/5G)",EU/Europe follows ITU Region 1 (largely identical to Region 1/2 primary services shown). Source: FCC 47 CFR 2.106 / ITU Radio Regulations 2016
75.4-76,0.0754-0.0760,kHz,FIXED | MOBILE,,FIXED | MOBILE,,,FIXED | MOBILE,NG3 NG16 NG56,"Point-to-point microwave links, satellite earth stations; Mobile phones, cellular base stations (2G/3G/4G/5G)",EU/Europe follows ITU Region 1 (largely identical to Region 1/2 primary services shown). Source: FCC 47 CFR 2.106 / ITU Radio Regulations 2016
76-88,0.0760-0.0880,kHz,BROADCASTING | Fixed | Mobile,5.185,,,,BROADCASTING,NG5 NG14 NG115 NG149,"AM/FM radios, DAB receivers, TV sets; Point-to-point microwave links, satellite earth stations; Mobile phones, cellular base stations (2G/3G/4G/5G)",EU/Europe follows ITU Region 1 (largely identical to Region 1/2 primary services shown). Source: FCC 47 CFR 2.106 / ITU Radio Regulations 2016
76-81,0.0760-0.0810,kHz,RADIO ASTRONOMY | RADIOLOCATION | Space research (space-to-Earth),5.560 US342,RADIO ASTRONOMY | RADIOLOCATION | Amateur | Space research (space-to-Earth),,,,,"Radio telescopes, scientific receivers; Radar systems, speed guns, weather radar; Deep space probes, scientific satellites",EU/Europe follows ITU Region 1 (largely identical to Region 1/2 primary services shown). Source: FCC 47 CFR 2.106 / ITU Radio Regulations 2016
81-84,0.0810-0.0840,kHz,,,,FIXED | FIXED-SATELLITE (Earth-to-space) US297 | MOBILE | MOBILE-SATELLITE (Earth-to-space) | RADIO ASTRONOMY | Space research (space-to-Earth),US161 US342 US389,,,"Radio telescopes, scientific receivers; Point-to-point microwave links, satellite earth stations; Mobile phones, cellular base stations (2G/3G/4G/5G); Deep space probes, scientific satellites",EU/Europe follows ITU Region 1 (largely identical to Region 1/2 primary services shown). Source: FCC 47 CFR 2.106 / ITU Radio Regulations 2016
84-86,0.0840-0.0860,kHz,,,,FIXED | FIXED-SATELLITE (Earth-to-space) | MOBILE | RADIO ASTRONOMY,US161 US342 US389,,,"Radio telescopes, scientific receivers; Point-to-point microwave links, satellite earth stations; Mobile phones, cellular base stations (2G/3G/4G/5G)",EU/Europe follows ITU Region 1 (largely identical to Region 1/2 primary services shown). Source: FCC 47 CFR 2.106 / ITU Radio Regulations 2016
86-92,0.0860-0.0920,kHz,,,,EARTH EXPLORATION-SATELLITE (passive) | RADIO ASTRONOMY US74 | SPACE RESEARCH (passive),US246,,,"Radio telescopes, scientific receivers; Satellite phones, VSAT terminals, satellite internet; Deep space probes, scientific satellites",EU/Europe follows ITU Region 1 (largely identical to Region 1/2 primary services shown). Source: FCC 47 CFR 2.106 / ITU Radio Regulations 2016
88-100,0.0880-0.1000,kHz,BROADCASTING,,,,US93,BROADCASTING NG2,US93 NG5,"AM/FM radios, DAB receivers, TV sets",EU/Europe follows ITU Region 1 (largely identical to Region 1/2 primary services shown). Source: FCC 47 CFR 2.106 / ITU Radio Regulations 2016
90-110,0.0900-0.1100,kHz,,,,RADIONAVIGATION 5.62 US18,US2 US104,,,"GPS receivers, GNSS devices",EU/Europe follows ITU Region 1 (largely identical to Region 1/2 primary services shown). Source: FCC 47 CFR 2.106 / ITU Radio Regulations 2016
92-94,0.0920-0.0940,kHz,,,,FIXED | MOBILE | RADIO ASTRONOMY | RADIOLOCATION,US161 US342,,,"Radio telescopes, scientific receivers; Radar systems, speed guns, weather radar; Point-to-point microwave links, satellite earth stations; Mobile phones, cellular base stations (2G/3G/4G/5G)",EU/Europe follows ITU Region 1 (largely identical to Region 1/2 primary services shown). Source: FCC 47 CFR 2.106 / ITU Radio Regulations 2016
94-94.1,0.0940-0.0941,kHz,,,,EARTH EXPLORATION-SATELLITE (active) | RADIOLOCATION | SPACE RESEARCH (active) | Radio astronomy,5.562 5.562A,RADIOLOCATION | Radio astronomy,5.562A,"Radio telescopes, scientific receivers; Satellite phones, VSAT terminals, satellite internet; Radar systems, speed guns, weather radar; Deep space probes, scientific satellites",EU/Europe follows ITU Region 1 (largely identical to Region 1/2 primary services shown). Source: FCC 47 CFR 2.106 / ITU Radio Regulations 2016
94.1-95,0.0941-0.0950,kHz,,,,FIXED | MOBILE | RADIO ASTRONOMY | RADIOLOCATION,US161 US342,,,"Radio telescopes, scientific receivers; Radar systems, speed guns, weather radar; Point-to-point microwave links, satellite earth stations; Mobile phones, cellular base stations (2G/3G/4G/5G)",EU/Europe follows ITU Region 1 (largely identical to Region 1/2 primary services shown). Source: FCC 47 CFR 2.106 / ITU Radio Regulations 2016
95-100,0.0950-0.1000,kHz,,,,FIXED | MOBILE | RADIO ASTRONOMY | RADIOLOCATION | RADIONAVIGATION | RADIONAVIGATION-SATELLITE,5.554 US342,,,"GPS receivers, GNSS devices; Point-to-point microwave links, satellite earth stations; Radar systems, speed guns, weather radar; Radio telescopes, scientific receivers; Mobile phones, cellular base stations (2G/3G/4G/5G)",EU/Europe follows ITU Region 1 (largely identical to Region 1/2 primary services shown). Source: FCC 47 CFR 2.106 / ITU Radio Regulations 2016
100-102,0.1000-0.1020,kHz,EARTH EXPLORATION-SATELLITE (passive) | RADIO ASTRONOMY US74 | SPACE RESEARCH (passive),5.341 US246,,,,,,"Radio telescopes, scientific receivers; Satellite phones, VSAT terminals, satellite internet; Deep space probes, scientific satellites",EU/Europe follows ITU Region 1 (largely identical to Region 1/2 primary services shown). Source: FCC 47 CFR 2.106 / ITU Radio Regulations 2016
102-105,0.1020-0.1050,kHz,FIXED | MOBILE | RADIO ASTRONOMY,5.341 US342,,,,,,"Radio telescopes, scientific receivers; Point-to-point microwave links, satellite earth stations; Mobile phones, cellular base stations (2G/3G/4G/5G)",EU/Europe follows ITU Region 1 (largely identical to Region 1/2 primary services shown). Source: FCC 47 CFR 2.106 / ITU Radio Regulations 2016
105-109.5,0.1050-0.1095,kHz,FIXED | MOBILE | RADIO ASTRONOMY | SPACE RESEARCH (passive) 5.562B,5.341 US342,,,,,,"Radio telescopes, scientific receivers; Point-to-point microwave links, satellite earth stations; Mobile phones, cellular base stations (2G/3G/4G/5G); Deep space probes, scientific satellites",EU/Europe follows ITU Region 1 (largely identical to Region 1/2 primary services shown). Source: FCC 47 CFR 2.106 / ITU Radio Regulations 2016
108-117.975,0.1080-0.1180,kHz,,,,AERONAUTICAL RADIONAVIGATION,5.197A US93,,,"ILS, VOR, DME, TACAN, instrument landing systems",EU/Europe follows ITU Region 1 (largely identical to Region 1/2 primary services shown). Source: FCC 47 CFR 2.106 / ITU Radio Regulations 2016
109.5-111.8,0.1095-0.1118,kHz,EARTH EXPLORATION-SATELLITE (passive) | RADIO ASTRONOMY US74 | SPACE RESEARCH (passive),5.341 US246,,,,,,"Radio telescopes, scientific receivers; Satellite phones, VSAT terminals, satellite internet; Deep space probes, scientific satellites",EU/Europe follows ITU Region 1 (largely identical to Region 1/2 primary services shown). Source: FCC 47 CFR 2.106 / ITU Radio Regulations 2016
110-130,0.1100-0.1300,kHz,FIXED | MARITIME MOBILE | MARITIME RADIONAVIGATION | Radiolocation,5.60 5.61 5.64,FIXED | MARITIME MOBILE | RADIONAVIGATION 5.60,FIXED | MARITIME MOBILE | Radiolocation,5.64 US2,,,"GPS receivers, GNSS devices; Point-to-point microwave links, satellite earth stations; Radar systems, speed guns, weather radar; Mobile phones, cellular base stations (2G/3G/4G/5G)",EU/Europe follows ITU Region 1 (largely identical to Region 1/2 primary services shown). Source: FCC 47 CFR 2.106 / ITU Radio Regulations 2016
